#SELECT * FROM minijpas.CalibTileImage
"TILE_ID","CALIB_PROCEDURE","ZPT","ERRZPT","IS_REFERENCE_METHOD"
2374,5,22.5440006,0.0399999991,1
2462,4,22.1900005,0.214000002,0
2462,5,22.1089993,0.0399999991,1
2343,4,22.5400009,0.246999994,0
2343,5,22.6149998,0.0399999991,1
2387,4,22.6660004,0.218999997,0
2387,5,22.6809998,0.0399999991,1
2315,4,22.3339996,0.194999993,0
2315,5,22.309,0.0399999991,1
2440,4,22.9029999,0.145999998,0
2440,5,22.8759995,0.0399999991,1
2271,4,22.6110001,0.187000006,0
2271,5,22.6219997,0.0399999991,1
2292,4,21.9960003,0.178000003,0
2292,5,22.0119991,0.0399999991,1
2344,4,22.4780006,0.178000003,0
2344,5,22.5349998,0.0399999991,1
2463,4,22.0739994,0.148000002,0
2463,5,22.0330009,0.0399999991,1
2316,4,22.5450001,0.165000007,0
2316,5,22.5440006,0.0399999991,1
2272,4,22.6380005,0.226999998,0
2272,5,22.625,0.0399999991,1
2345,4,22.743,0.108000003,0
2345,5,22.8190002,0.0399999991,1
2464,4,21.9309998,0.180000007,0
2464,5,21.8220005,0.0399999991,1
2388,4,22.6060009,0.232999995,0
2388,5,22.5790005,0.0399999991,1
2293,4,22.6569996,0.170000002,0
2293,5,22.684,0.0399999991,1
2465,4,21.7460003,0.171000004,0
2465,5,21.6730003,0.0399999991,1
2317,4,22.7719994,0.144999996,0
2317,5,22.7520008,0.0399999991,1
2441,4,22.9090004,0.144999996,0
2441,5,22.9090004,0.0399999991,1
2346,4,22.5459995,0.155000001,0
2346,5,22.5960007,0.0399999991,1
2273,4,21.8740005,0.323000014,0
2273,5,21.9449997,0.0399999991,1
2294,4,22.6229992,0.188999996,0
2294,5,22.6779995,0.0399999991,1
2274,4,22.5919991,0.428000003,0
2274,5,22.6819992,0.0399999991,1
2347,4,22.4899998,0.186000004,0
2347,5,22.5900002,0.0399999991,1
2466,4,23.0440006,0.211999997,0
2466,5,22.9880009,0.0399999991,1
2467,4,25.3549995,0.184,0
2467,5,25.3889999,0.0399999991,1
2468,4,23.2779999,0.252999991,0
2468,5,23.1159992,0.0399999991,1
2469,4,25.2579994,0.155000001,0
2469,5,25.2259998,0.0399999991,1
2470,4,25.3649998,0.142000005,0
2470,5,25.3490009,0.0399999991,1
2275,3,22.3239994,0.118000001,0
2275,5,22.3299999,0.0399999991,1
2276,4,22.5230007,0.333999991,0
2276,5,22.684,0.0399999991,1
2277,4,22.6499996,0.287,0
2277,5,22.6879997,0.0399999991,1
2278,4,22.2959995,0.368999988,0
2278,5,22.4610004,0.0399999991,1
2389,4,22.7830009,0.206,0
2389,5,22.7800007,0.0399999991,1
2390,4,22.3859997,0.150999993,0
2390,5,22.3460007,0.0399999991,1
2391,4,22.5049992,0.250999987,0
2391,5,22.493,0.0399999991,1
2392,4,22.257,0.241999999,0
2392,5,22.2119999,0.0399999991,1
2393,4,22.5149994,0.238999993,0
2393,5,22.5039997,0.0399999991,1
2394,4,22.2970009,0.31400001,0
2394,5,22.2530003,0.0399999991,1
2395,4,22.1709995,0.254999995,0
2395,5,22.1389999,0.0399999991,1
2396,4,22.1259995,0.195999995,0
2396,5,22.1070004,0.0399999991,1
2397,4,22.1819992,0.296000004,0
2397,5,22.1709995,0.0399999991,1
2398,4,22.0240002,0.185000002,0
2398,5,21.9799995,0.0399999991,1
2295,4,22.7310009,0.145999998,0
2295,5,22.7709999,0.0399999991,1
2296,4,22.5139999,0.0979999974,0
2296,5,22.5569992,0.0399999991,1
2297,4,22.3969994,0.165999994,0
2297,5,22.4389992,0.0399999991,1
2298,4,22.5259991,0.134000003,0
2298,5,22.5429993,0.0399999991,1
2299,4,22.6469994,0.108999997,0
2299,5,22.7010002,0.0399999991,1
2300,4,22.4130001,0.0989999995,0
2300,5,22.4769993,0.0399999991,1
2301,4,22.1490002,0.199000001,0
2301,5,22.1420002,0.0399999991,1
2302,4,22.3869991,0.0820000023,0
2302,5,22.4249992,0.0399999991,1
2348,4,22.3619995,0.224000007,0
2348,5,22.448,0.0399999991,1
2349,4,22.5009995,0.148000002,0
2349,5,22.5919991,0.0399999991,1
2350,4,25.1989994,0.114,0
2350,5,25.2320004,0.0399999991,1
2318,4,22.6329994,0.142000005,0
2318,5,22.6210003,0.0399999991,1
2319,4,22.6350002,0.184,0
2319,5,22.6410007,0.0399999991,1
2320,4,22.5200005,0.164000005,0
2320,5,22.4960003,0.0399999991,1
2321,4,22.4349995,0.201000005,0
2321,5,22.4430008,0.0399999991,1
2322,4,22.6210003,0.370999992,0
2322,5,22.7940006,0.0399999991,1
2323,4,22.7229996,0.280000001,0
2323,5,22.7660007,0.0399999991,1
2324,4,22.6940002,0.211999997,0
2324,5,22.7320004,0.0399999991,1
2325,4,22.8659992,0.216000006,0
2325,5,22.9599991,0.0399999991,1
2326,4,22.3540001,0.444000006,0
2326,5,22.4990005,0.0399999991,1
2442,4,22.6989994,0.156000003,0
2442,5,22.6630001,0.0399999991,1
2443,4,22.7339993,0.138999999,0
2443,5,22.7280006,0.0399999991,1
2444,4,22.6940002,0.153999999,0
2444,5,22.6229992,0.0399999991,1
2445,4,22.7119999,0.119999997,0
2445,5,22.6529999,0.0399999991,1
2446,4,22.6870003,0.155000001,0
2446,5,22.6529999,0.0399999991,1
2407,4,25.2819996,0.239999995,0
2407,5,25.2450008,0.0399999991,1
2408,4,21.6389999,0.293000013,0
2408,5,21.6889992,0.0399999991,1
2409,4,21.8589993,0.286000013,0
2409,5,21.8069992,0.0399999991,1
2410,4,22.2579994,0.256999999,0
2410,5,22.3209991,0.0399999991,1
2411,4,22.0690002,0.333000004,0
2411,5,21.9969997,0.0399999991,1
2412,4,22.4699993,0.27700001,0
2412,5,22.5470009,0.0399999991,1
2413,4,22.2649994,0.150999993,0
2413,5,22.2140007,0.0399999991,1
2414,3,22.1569996,0.175999999,0
2414,5,22.1590004,0.0399999991,1
2415,4,22.4529991,0.272000015,0
2415,5,22.5629997,0.0399999991,1
2416,4,22.5760002,0.236000001,0
2416,5,22.6200008,0.0399999991,1
2417,4,22.6560001,0.250999987,0
2417,5,22.6800003,0.0399999991,1
2418,4,22.802,0.200000003,0
2418,5,22.8509998,0.0399999991,1
2419,4,22.9470005,0.164000005,0
2419,5,22.9549999,0.0399999991,1
2420,4,22.5109997,0.250999987,0
2420,5,22.5330009,0.0399999991,1
2421,4,22.5879993,0.211999997,0
2421,5,22.6070004,0.0399999991,1
2422,4,22.6329994,0.291000009,0
2422,5,22.6599998,0.0399999991,1
2242,4,25.2250004,0.157000005,0
2242,5,25.2350006,0.0399999991,1
2243,4,25.323,0.0860000029,0
2243,5,25.3719997,0.0399999991,1
2244,4,23.5259991,0.328999996,0
2244,5,23.3929996,0.0399999991,1
2245,4,22.7310009,0.210999995,0
2245,5,22.7390003,0.0399999991,1
2246,4,22.8570004,0.201000005,0
2246,5,22.8509998,0.0399999991,1
2247,4,22.8419991,0.229000002,0
2247,5,22.8540001,0.0399999991,1
2248,4,22.8859997,0.175999999,0
2248,5,22.9190006,0.0399999991,1
2249,4,22.5030003,0.26699999,0
2249,5,22.5109997,0.0399999991,1
2250,4,22.8190002,0.230000004,0
2250,5,22.8050003,0.0399999991,1
2251,4,22.8659992,0.224000007,0
2251,5,22.8689995,0.0399999991,1
2252,4,22.4710007,0.136999995,0
2252,5,22.5249996,0.0399999991,1
2253,4,22.4489994,0.160999998,0
2253,5,22.4839993,0.0399999991,1
2254,4,22.5960007,0.177000001,0
2254,5,22.5480003,0.0399999991,1
