#SELECT * FROM minijpas.TileImage
"TILE_ID","FILTER_ID","REF_TILE_ID","name","RA","DEC","hpix5","ZPT","ERRZPT","CALIB_PROCEDURE","NOISE","NOISE_RMS","ADULEVEL","ADULEVEL_RMS","NCOMBINED","TEXPOSED","EFECTIME","EXPTIME","FWHMG","FWHMG_RMS","FWHM_MIN","FWHM_MAX","FWHM_MEAN","MOFFATBETA_MEAN","ELLIPTICITY_MEAN","PIXSCALE","DATASUM","CHECKSUM","SINGLE_CATALOGUE_DATASUM","DUAL_CATALOGUE_DATASUM","DEPTH2FWHM5S","DEPTH3ARC5S","DEPTHARCSEC2","M50S","KS","M50G","KG","APER_COR_6_0","OBSERVATION_DATES"
2377,27,2406,"AEGIS003-v201912_J0630_swp",215.387923,53.1831655,2856,22.7999992,0.0399999991,5,0.0254999995,0.00190000003,0.0,0.00300000003,4,480.0,478.450012,1.0,0.943000019,0.0140000004,0.883064985,0.96825403,0.899434984,3.94382,0.0157839991,0.2267,2949571573,"YHDLZFCKYFCKYFCK",1871745303,2885593923,22.9184914,22.3631878,23.4248543,22.0380287,5.88413811,21.1825619,3.44367385,-0.0466757007,20180621235624 20180621235415 20180622000042 20180621235833
2402,56,2406,"AEGIS003-v201912_J1007_swp",215.387923,53.1831655,2856,23.2660007,0.0399999991,5,0.0417000018,0.00219999999,-0.00100000005,0.00800000038,12,1440.0,1306.18005,1.0,1.52999997,0.191,1.15448999,2.25605989,1.44147003,4.36722994,0.0209366996,0.2267,2029905570,"A4HOD29OA2GOA29O",1995038310,2242396986,22.3384132,22.2951984,23.356863,21.2940426,5.66235876,20.7510071,4.08456993,-0.0885595977,20181004192538 20181004193413 20181004194044 20180927200213 20181004192333 20181004193202 20181004193839 20180927200007 20180927200629 20181004192745 20181004193618 20180927200422
2330,28,2241,"AEGIS001-v201912_J0640_swp",214.282520625,52.5143375,2856,22.7479992,0.0399999991,5,0.0116999997,0.000699999975,0.00100000005,0.00100000005,8,960.0,805.940002,1.0,1.074,0.148000002,0.828481972,1.83906996,0.892247975,3.62260008,0.0177305005,0.2267,1578491645,"oaBBpW9BoaABoW7B",1831371766,3963015780,23.7210884,23.157074,24.2187386,22.6418991,6.24041843,22.0294628,4.56402016,-0.0604209006,20180804225133 20180803214616 20180804224921 20180804225556 20180803214407 20180803215035 20180804225344 20180803214826
2378,28,2406,"AEGIS003-v201912_J0640_swp",215.387923,53.1831655,2856,22.4200001,0.0399999991,5,0.00860000029,0.000500000024,0.00100000005,0.00100000005,11,1320.0,1301.32996,1.0,0.972000003,0.0839999989,0.842239976,1.75149,0.865023971,2.81397009,0.000760232972,0.2267,1443805698,"JHg4K9e3JEe3J9e3",253950686,43782895,23.7609501,23.1632919,24.2249584,22.609417,6.3633008,21.9583874,4.40777111,-0.0687908977,20180804215627 20180804220308 20180804220927 20180804221601 20180804215422 20180804220049 20180804220722 20180804221352 20180804215843 20180804220513 20180804221143
2257,37,2243,"AEGIS002-v201912_J0730_swp",214.828485277,52.8487225,2856,22.4500008,0.0399999991,5,0.0197000001,0.00109999999,0.00100000005,0.00200000009,8,960.0,928.909973,1.0,1.93599999,0.0689999983,1.61447001,1.98106003,1.75773001,9.99962044,0.0233849008,0.2267,3767172304,"9FSAA9P84EPA99P5",1834100741,441145990,22.1212196,22.2933731,23.3550377,21.3117523,6.26555204,20.6970234,4.39981079,-0.0416992009,20180819214650 20180820222557 20180819214434 20180820222342 20180820223045 20180819214222 20180819214902 20180820222831
2403,57,2406,"AEGIS003-v201912_uJPAS_swp",215.387923,53.1831655,2856,23.1970005,0.0399999991,5,0.0250000004,0.00120000006,0.00300000003,0.00100000005,4,480.0,476.549988,1.0,1.59300005,0.0399999991,1.43569005,1.74457002,1.57265997,2.66753006,0.0317684002,0.2267,3686474904,"KZiGMZi9KZiGKZi9",1963551322,3901299712,22.7303295,22.7816887,23.8433533,21.5471992,11.6036997,20.8804836,6.16240358,-0.0366019011,20180814223331 20180814223116 20180814222902 20180814223545
2404,58,2406,"AEGIS003-v201912_gSDSS_swp",215.387923,53.1831655,2856,25.4139996,0.0399999991,5,0.0606000014,0.00190000003,0.00899999961,0.00400000019,16,480.0,477.179993,1.0,1.35800004,0.108000003,1.04984999,1.90430999,1.18110001,2.33989,0.00894934963,0.2267,2919622527,"9D36A9362C369936",3178399958,2309723056,24.2968674,24.0373573,25.0990219,22.9982872,10.205636,22.3868942,5.05801153,-0.0784128979,20180516000903 20180516001115 20180516001326 20180516001553 20180516000508 20180516000819 20180516001030 20180516001243 20180516001509 20180516000424 20180516000635 20180516000946 20180516001159 20180516001426 20180516001637 20180516000551
2331,25,2241,"AEGIS001-v201912_J0610_swp",214.282520625,52.5143375,2856,22.7150002,0.0399999991,5,0.0120000001,0.000899999985,0.00100000005,0.00100000005,4,480.0,476.709991,1.0,1.05900002,0.0719999969,0.928367972,1.59211004,0.938533008,2.43726993,0.0267379005,0.2267,2358387274,"XDahXBaZXBafXBaZ",3362901045,813564009,23.60569,23.0965843,24.1582508,22.4512444,6.55699635,21.794611,3.97924328,-0.0677035004,20180706221320 20180706221947 20180706221735 20180706221528
2258,40,2243,"AEGIS002-v201912_J0760_swp",214.828485277,52.8487225,2856,22.3010006,0.0399999991,5,0.0307999998,0.00209999993,0.0,0.00400000019,4,480.0,477.220001,1.0,1.81799996,0.057,1.59380996,1.98078001,1.63734996,2.52759004,0.0269769002,0.2267,3510047854,"YbAfYZ2ZYb9fYZ9Z",965715117,3592075735,21.5640354,21.6591606,22.7208271,20.4606285,5.51585245,19.8430405,4.89321899,-0.101357996,20180725215941 20180725220704 20180725220444 20180725220223
2379,31,2406,"AEGIS003-v201912_J0670_swp",215.387923,53.1831655,2856,22.8799992,0.0399999991,5,0.00949999969,0.000600000028,0.00100000005,0.00100000005,8,960.0,847.630005,1.0,1.26300001,0.0320000015,1.13211,1.34063995,1.16750002,2.39204001,0.0164205004,0.2267,811633736,"705UB04U904UA04U",674828503,3008082530,23.7873154,23.5152302,24.5768948,22.6677856,6.08076572,22.1721325,5.3019042,-0.0865420997,20190629225126 20180617214856 20190629224900 20180617214626 20190629224643 20190629225340 20180617214354 20180617215151
