#SELECT * FROM jnep.CalibTileImage
"TILE_ID","CALIB_PROCEDURE","ZPT","ERRZPT","IS_REFERENCE_METHOD"
2476,8,22.4510002,0.0399999991,1
2473,8,22.6630001,0.0399999991,1
2479,8,22.4459991,0.0399999991,1
2482,8,22.507,0.0399999991,1
2485,8,22.5489998,0.0399999991,1
2488,8,22.4190006,0.0399999991,1
2500,8,22.2609997,0.0399999991,1
2497,8,22.2099991,0.0399999991,1
2512,8,23.3390007,0.0399999991,1
2506,8,22.5489998,0.0399999991,1
2494,8,22.7119999,0.0399999991,1
2503,8,22.2369995,0.0399999991,1
2517,8,22.7670002,0.0399999991,1
2524,8,22.6299992,0.0399999991,1
2491,8,22.5979996,0.0399999991,1
2521,8,22.7600002,0.0399999991,1
2472,8,22.816,0.0399999991,1
2486,8,22.8150005,0.0399999991,1
2477,8,22.7700005,0.0399999991,1
2474,8,22.8829994,0.0399999991,1
2489,8,22.6779995,0.0399999991,1
2495,8,22.1469994,0.0399999991,1
2518,8,22.8610001,0.0399999991,1
2492,8,22.5739994,0.0399999991,1
2522,8,22.8379993,0.0399999991,1
2480,8,22.3309994,0.0399999991,1
2514,8,23.1329994,0.0399999991,1
2498,8,22.7159996,0.0399999991,1
2525,8,22.7460003,0.0399999991,1
2501,8,22.0319996,0.0399999991,1
2504,8,22.5219994,0.0399999991,1
2515,8,21.8859997,0.0399999991,1
2483,8,22.2549992,0.0399999991,1
2487,8,22.7639999,0.0399999991,1
2519,8,22.5699997,0.0399999991,1
2493,8,22.5550003,0.0399999991,1
2478,8,22.1580009,0.0399999991,1
2523,8,22.493,0.0399999991,1
2475,8,22.5970001,0.0399999991,1
2496,8,22.2240009,0.0399999991,1
2505,8,22.1790009,0.0399999991,1
2490,8,22.25,0.0399999991,1
2502,8,22.2709999,0.0399999991,1
2520,8,25.2950001,0.0399999991,1
2499,8,22.4330006,0.0399999991,1
2481,8,22.1919994,0.0399999991,1
2526,8,22.3589993,0.0399999991,1
2484,8,22.5510006,0.0399999991,1
2527,8,22.6989994,0.0399999991,1
2528,8,22.4009991,0.0399999991,1
2529,8,22.4689999,0.0399999991,1
2530,8,22.7560005,0.0399999991,1
2516,8,22.0459995,0.0399999991,1
2510,8,22.559,0.0399999991,1
2508,8,21.7019997,0.0399999991,1
2509,8,21.9510002,0.0399999991,1
2507,8,22.6420002,0.0399999991,1
2471,8,22.7649994,0.0399999991,1
2511,8,25.0839996,0.0399999991,1
2513,8,25.0170002,0.0399999991,1
